scenario,model,sfm,speed_type,variable,simulation_mean,simulation_std,simulation_median,real_value,difference_sim_minus_real,absolute_difference,relative_error_percent,n_simulations,rank
overtaking,Moussaid,SFM,Fixed,cyclist_speed_mean,4.76043098756975,0.03608879741412466,4.766081881313131,6.847157913814309,-2.086726926244559,2.086726926244559,30.475811314860085,20,2.0
overtaking,NES,SFM,Fixed,cyclist_speed_mean,4.759281409913563,0.05441456991990761,4.76046669302721,6.847157913814309,-2.0878765039007456,2.0878765039007456,30.492600436283258,20,3.0
overtaking,NES,Without SFM,Fixed,cyclist_speed_mean,4.752690375548864,0.03444149778538265,4.754398376589565,6.847157913814309,-2.0944675382654445,2.0944675382654445,30.588859854390172,20,4.0
overtaking,Moussaid,Without SFM,Random,cyclist_speed_mean,3.9531169760192713,0.4647374815422864,4.094038165321132,6.847157913814309,-2.8940409377950376,2.8940409377950376,42.266309236949816,20,5.0
overtaking,NES,Without SFM,Random,cyclist_speed_mean,3.947089397879485,0.46257339799117053,4.042589360706351,6.847157913814309,-2.900068515934824,2.900068515934824,42.35433960247747,20,6.0
overtaking,Moussaid,SFM,Random,cyclist_speed_mean,3.9275900931282424,0.5464874307628632,3.9366882025316454,6.847157913814309,-2.9195678206860665,2.9195678206860665,42.63911914161884,20,7.0
overtaking,NES,SFM,Random,cyclist_speed_mean,3.6161912865947436,0.4961030750379682,3.602278579119628,6.847157913814309,-3.230966627219565,3.230966627219565,47.18697403927272,20,8.0
overtaking,Moussaid,Without SFM,Random,distance_min,1.3722835999999996,0.1574763880507671,1.3374525,1.293463501310657,0.07882009868934259,0.07882009868934259,6.093724222560185,20,1.0
overtaking,Moussaid,SFM,Fixed,distance_min,1.1811889999999998,0.06098210434908018,1.1740165,1.293463501310657,-0.1122745013106572,0.1122745013106572,8.680144526450903,20,2.0
overtaking,Moussaid,Without SFM,Fixed,distance_min,1.1807227,0.05010672428568951,1.168077,1.293463501310657,-0.112740801310657,0.112740801310657,8.716195021847744,20,3.0
overtaking,Moussaid,SFM,Random,distance_min,1.42439345,0.16928771353790595,1.4202620000000001,1.293463501310657,0.13092994868934293,0.13092994868934293,10.122430865399185,20,4.0
overtaking,NES,Without SFM,Fixed,distance_min,1.49432975,0.12513224736879694,1.5082035,1.293463501310657,0.20086624868934289,0.20086624868934289,15.52933256221042,20,5.0
overtaking,NES,Without SFM,Random,distance_min,1.51704825,0.17803582047704394,1.6036205,1.293463501310657,0.22358474868934297,0.22358474868934297,17.2857408394428,20,6.0
overtaking,NES,SFM,Random,distance_min,1.5297747999999998,0.13021459450606504,1.5511585,1.293463501310657,0.23631129868934275,0.23631129868934275,18.269653411162377,20,7.0
overtaking,NES,SFM,Fixed,distance_min,1.53498245,0.15042567101062693,1.532818,1.293463501310657,0.24151894868934298,0.24151894868934298,18.672266240571428,20,8.0
overtaking,Moussaid,SFM,Fixed,relative_speed_mean,3.422643145013404,0.2644833935086933,3.3795715859539683,6.269910228630726,-2.8472670836173224,2.8472670836173224,45.411608456779,20,1.0
overtaking,NES,Without SFM,Fixed,relative_speed_mean,3.400613205667723,0.2914710913605819,3.370914452958866,6.269910228630726,-2.869297022963003,2.869297022963003,45.76296818191643,20,2.0
overtaking,NES,SFM,Fixed,relative_speed_mean,3.365471111075429,0.19040089295054988,3.3809379764125316,6.269910228630726,-2.904439117555297,2.904439117555297,46.32345618430955,20,3.0
overtaking,Moussaid,Without SFM,Fixed,relative_speed_mean,3.2987661773025274,0.21939031314679758,3.289474836422026,6.269910228630726,-2.971144051328199,2.971144051328199,47.38734595849327,20,4.0
overtaking,NES,Without SFM,Random,relative_speed_mean,2.578766173220809,0.429515179969348,2.598805410549864,6.269910228630726,-3.691144055409917,3.691144055409917,58.87076402712738,20,5.0
overtaking,Moussaid,SFM,Random,relative_speed_mean,2.549679367732411,0.5737096346879618,2.579898489384529,6.269910228630726,-3.7202308608983152,3.7202308608983152,59.33467506297565,20,6.0
overtaking,Moussaid,Without SFM,Random,relative_speed_mean,2.483909420604432,0.5740763727840474,2.515735896260334,6.269910228630726,-3.7860008080262944,3.7860008080262944,60.38365255594914,20,7.0
overtaking,NES,SFM,Random,relative_speed_mean,2.2970452505451906,0.5437610406370844,2.2878894419831255,6.269910228630726,-3.9728649780855356,3.9728649780855356,63.363985020773775,20,8.0
